name,parameter size (B),date,link,owner
MT5,13,2022-10-01,https://huggingface.co/google/mt5-base,Google
Galactica,120,2022-11-01,https://www.technologyreview.com/2022/11/18/1063487/meta-large-language-model-ai-only-survived-three-days-gpt-3-science/,Meta
ChatGPT,12,2022-11-01,https://en.wikipedia.org/wiki/ChatGPT,OpenAI
RL-CAI,52,2022-12-01,https://lifearchitect.ai/anthropic/,Anthropic
GPT 3.5,175,2022-12-01,https://openai.com/blog/chatgpt,OpenAI
Exaone 1.0,300,2022-12-01,https://sourceforge.net/software/product/EXAONE/,LG
Claude,52,2023-01-01,https://arstechnica.com/information-technology/2023/03/anthropic-introduces-claude-a-more-steerable-ai-competitor-to-chatgpt/,Anthropic
WebGPT,175,2023-01-01,https://openai.com/research/webgpt,OpenAI
LLaMa,65,2023-02-01,https://ai.facebook.com/blog/large-language-model-llama-meta-ai/,Meta
Bard,0.7,2023-02-01,https://techmonitor.ai/technology/ai-and-automation/google-i-o-bard-chatbot-llm-palm2-gemini,Google
Luminous Supreme,70,2023-02-01,https://docs.aleph-alpha.com/docs/introduction/prompting_and_completion/#zero-shot-learning-with-luminous-supreme-control,Aleph Alpha
Cerebras-GPT,13,2023-03-01,https://www.cerebras.net/blog/cerebras-gpt-a-family-of-open-compute-efficient-large-language-models/,Cerebras
GPT4All-LoRA,7,2023-03-01,https://s3.amazonaws.com/static.nomic.ai/gpt4all/2023_GPT4All_Technical_Report.pdf,Nomic
Jurassic-2,200,2023-03-01,https://thenewstack.io/ai21-labs-releases-jurassic-2-its-new-large-language-model/,AI21 Labs
Vicuna-13B,65,2023-03-01,https://lmsys.org/blog/2023-03-30-vicuna/,Vicuna Team
BloombergGPT,50,2023-03-01,https://arxiv.org/abs/2303.17564,Bloomberg
Alpaca,7,2023-03-01,https://github.com/tatsu-lab/stanford_alpaca,Stanford
PanGu-Sigma,1085,2023-03-01,https://arxiv.org/abs/2303.10845,Huawei
GPT-4,1000,2023-03-01,https://en.wikipedia.org/wiki/GPT-4,OpenAI
SenseChat,200,2023-04-01,https://www.silicon.co.uk/e-innovation/artificial-intelligence/sensetime-ai-505764,SenseTime
Hugging Chat,30,2023-04-01,https://techcrunch.com/2023/04/25/hugging-face-releases-its-own-version-of-chatgpt/?guccounter=1&guce_referrer=aHR0cHM6Ly9uZXdzLnNsYXNoZG90Lm9yZy8&guce_referrer_sig=AQAAAAykGMvXCA4mB45v7uwolZNOHKsD8v0oCXuvA_ODzNeQYDZSu_-gosaiEklXgzcJrzmgiNapj8m3WQ7gmE8auQxFEIKokjxYpdx7TXhOimIuz0Dww2I7ceB29AYZHtxkD4wfgA8BN4aB5CR3L9aVOLjXXiiCHDmCvhBr9I8xwLAo,LAION
Koala-13B,13,2023-04-01,https://bair.berkeley.edu/blog/2023/04/03/koala/,Berkeley
Dolly 2.0,12,2023-04-01,https://arstechnica.com/information-technology/2023/04/a-really-big-deal-dolly-is-a-free-open-source-chatgpt-style-ai-model/,Databricks
StableLM,65,2023-04-01,https://github.com/stability-AI/stableLM/,Stability AI
BingChat,1000,2023-04-01,https://www.zdnet.com/article/how-to-use-the-new-bing-and-how-its-different-from-chatgpt/,Microsoft
Titan,350,2023-04-01,https://aws.amazon.com/bedrock/titan/,Amazon
Tongyi Qianwen,200,2023-04-01,https://www.theregister.com/2023/04/11/alibaba_tongyi_qianwen_llm/,Alibaba
PaLM2,540,2023-05-01,https://techcrunch.com/2023/05/10/google-launches-palm-2-its-next-gen-large-language-model/,Google
Phi-1,1.3,2023-06-01,"https://microsoft.com, https://huggingface.co/microsoft/phi-1",Microsoft
Sail-7B,7,2023-06-01,https://openlsr.org/sail-7b,Open Language Safety Research
Falcon LLM,40,2023-06-01,https://falconllm.tii.ae/,Technology Innovation Institute
Web LLM,7,2023-06-01,https://simonwillison.net/2023/Apr/16/web-llm/,Independent
OpenLLM,13,2023-06-01,https://huggingface.co/openlm-research/open_llama_13b_easylm,Independent
Bichuan 2,13,2023-07-01,https://techcrunch.com/2023/07/11/chinas-search-engine-pioneer-unveils-open-source-large-language-model-to-rival-openai/,Baichuan Intelligence
LLaMa2,70,2023-07-01,https://venturebeat.com/ai/facebook-parent-meta-unveils-llama-2-open-source-ai-model-for-commercial-use/,Facebook
Claude 2,52,2023-07-01,https://arstechnica.com/information-technology/2023/07/new-chatgpt-rival-claude-2-launches-for-open-beta-testing/,Anthropic
Ernie Bot 3.5,200,2023-07-01,http://research.baidu.com/Blog/index-view?id=185,Baidu
Japanese StableLM Alpha 7B,7,2023-08-01,https://huggingface.co/stabilityai/japanese-stablelm-base-alpha-7b,Stability AI
Claude Instant,52,2023-08-01,https://techcrunch.com/2023/08/09/anthropic-launches-improved-version-of-its-entry-level-llm/,Anthropic
IDEFICS,80,2023-08-01,https://huggingface.co/blog/idefics,Independent
Jais Chat,13,2023-08-01,https://arxiv.org/abs/2309.03852,Independent
Retro48B,48,2023-09-01,https://i-genie.co.uk/researchers-from-nvidia-introduce-retro-48b-the-largest-llm-pretrained-with-retrieval-before-instruction-tuning/,Nvidia
Qwen,14,2023-09-01,https://huggingface.co/Qwen,Alibaba
Persimmon-8B,8,2023-09-01,https://github.com/persimmon-ai-labs/adept-inference,Adept
AceGPT,13,2023-09-01,https://huggingface.co/FreedomIntelligence/AceGPT-13B,KAUST/Shenzhen
Mistral-7B,7,2023-09-01,https://mistral.ai/news/announcing-mistral-7b/,Mistral AI
InternLM,20,2023-09-01,https://github.com/InternLM/InternLM,Independent
Falcon 180B,180,2023-09-01,https://huggingface.co/blog/falcon-180b,TII
Bolt 2.5B,2.5,2023-09-01,https://medium.com/thirdai-blog/introducing-the-worlds-first-generative-llm-pre-trained-only-on-cpus-meet-thirdai-s-bolt2-5b-10c0600e1af4,ThirdAI
DeciLM,5.7,2023-09-01,https://deci.ai/blog/decilm-15-times-faster-than-llama2-nas-generated-llm-with-variable-gqa/,Deci AI
MoLM,8,2023-09-01,https://github.com/ibm/moduleformer,IBM
Ernie 4.0,1000,2023-10-01,https://slashdot.org/story/23/10/17/1156245/baidu-says-its-ai-as-good-as-chatgpt-in-big-claim-for-china?utm_source=feedly1.0mainlinkanon&utm_medium=feed,Baidu
Fuyu,8,2023-10-01,https://huggingface.co/adept/fuyu-8b,Adept
Grok 1,314,2023-11-01,https://en.wikipedia.org/wiki/Grok_(chatbot),Twitter
Yuan 2.0,102,2023-11-01,https://github.com/IEIT-Yuan/Yuan-2.0/blob/main/README-EN.md,IEIT
Grok 0,33,2023-11-01,https://grok.x.ai/,Twitter
MEDITRON,70,2023-11-01,https://huggingface.co/epfl-llm/meditron-70b,EPFL
Orca 2,13,2023-11-01,https://arxiv.org/abs/2311.11045,Microsoft
pplx-70b,70,2023-11-01,https://labs.perplexity.ai/,Perplexity
Claude 2.1,130,2023-11-01,https://claude.ai/,Anthropic
Grok,33,2023-11-01,https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_af135ccd-4afb-4123-a287-c908b4c9f3a9,Twitter
Inflection-2,1200,2023-11-01,https://inflection.ai/inflection-2,Inflection
GPT-4 Turbo,1000,2023-11-01,https://cdn.openai.com/papers/gpt-4.pdf,OpenAI
Mistral-small,46.7,2023-12-01,https://www.together.ai/blog/mixtral,Mistral AI
Phi-2,2.7,2023-12-01,"https://microsoft.com, https://huggingface.co/microsoft/phi-2",Microsoft
SeaLLM,13,2023-12-01,https://github.com/damo-nlp-sg/seallms,Alibaba
Q ,180,2023-12-01,https://arstechnica.com/information-technology/2023/11/amazon-unleashes-q-an-ai-assistant-for-the-workplace/,Amazon
Gemini Ultra ,1500,2023-12-01,https://deepmind.google/technologies/gemini/,Google
Mistral-medium,180,2023-12-01,https://www.together.ai/blog/mixtral,Mistral AI
Fuyu-heavy,120,2024-01-01,https://www.adept.ai/blog/adept-fuyu-heavy,Adept
Xinghuo 3.5,200,2024-01-01,https://www.shine.cn/biz/tech/2401304331/,iFlyTek
DeepSeek,67,2024-01-01,https://chat.deepseek.com/,Wenge
GLM-4,200,2024-01-01,https://www.chatglm.cn/,Zhipu AI
MGIE,7,2024-01-01,https://github.com/tsujuifu/pytorch_mgie,Apple
Mixtral 8x7B,46.7,2024-01-01,https://huggingface.co,Mistral AI
Mistral-large,540,2024-02-01,https://poe.com/Mistral-Large,Mistral AI
Qwen 1.5,72,2024-02-01,https://qwenlm.github.io/blog/qwen1.5/,Alibaba
Gemini Pro 1.5,1500,2024-02-01,https://www.theinformation.com/articles/google-delays-cloud-release-of-gemini-ai-that-aims-to-compete-with-openai,Google
MM1,30,2024-03-01,https://arxiv.org/abs/2403.09611,Apple
Claude 3,2000,2024-03-01,https://claude.ai/,Anthropic
Inflection-2.5,1200,2024-03-01,https://inflection.ai/inflection-2,Inflection
Llama 3,70,2024-04-01,https://www.instagram.com/reel/C2QARHJR1sZ/,Meta
Phi-3-small,7,2024-04-01,"https://microsoft.com, https://azure.microsoft.com",Microsoft
Phi-3-mini,3.8,2024-04-01,https://azure.microsoft.com,Microsoft
Mixtral 8x22B,141,2024-04-01,https://mistral.ai,Mistral AI
Phi-3-medium,14,2024-04-01,"https://azure.microsoft.com, https://microsoft.com",Microsoft
Llama 3.1,70,2024-07-01,https://blockonomi.com/meta-releases-llama-3-1/,Meta
Llama 3.1,8,2024-07-01,https://blockonomi.com/meta-releases-llama-3-1/,Meta
Llama 3.1,405,2024-07-01,https://blockonomi.com/meta-releases-llama-3-1/,Meta
Phi-3.5-vision-instruct,4.15,2024-08-01,https://infoq.com,Microsoft
Phi-3.5-mini-instruct,3.8,2024-08-01,https://techcommunity.microsoft.com,Microsoft
Olympus,2000,2024-08-01,https://www.reuters.com/technology/amazon-sets-new-team-trains-ambitious-ai-model-codenamed-olympus-sources-2023-11-08/,Amazon
Phi-3.5-MoE-instruct,41.9,2024-08-01,https://infoq.com,Microsoft
Claude 3.5,180,2024-06-01,https://anthropic.com/claude-3-5,Anthropic
ExaOne 3.0,7.8,2024-08-01,https://lgcorp.com,LG
HyperClova,82,2021-05-01,https://www.mk.co.kr/en/it/11073465,Naver
HyperClova X,204,2023-08-23,https://arxiv.org/pdf/2404.01954,Naver
Exaone 2.0,300,2023-07-01,https://www.econotimes.com/LG-Unveils-EXAONE-2-0-A-Giant-Leap-in-AI-with-Multimodal-Energy-Efficient-Technology-1646215,LG
