No.,mat,R_atomic(A),R_ionic(A),R_Waals(A),R,G,B
79,Au,1.44,2.16,1.37,0.99628,0.70149,0.22106
80,Hg,1.55,2.16,1.02,0.8294,0.72125,0.79823
81,Tl,1.71,2.16,0.885,0.58798,0.53854,0.42649
82,Pb,1.75,2.16,1.19,0.32386,0.32592,0.35729
83,Bi,1.82,2.16,1.03,0.82428,0.18732,0.97211
84,Po,1.77,2.16,0.94,0.0,0.0,1.0
85,At,0.62,2.16,0.62,0.0,0.0,1.0
86,Rn,0.8,2.16,0.8,1.0,1.0,0.0
87,Fr,1.0,2.16,1.8,0.0,0.0,0.0
88,Ra,2.35,2.16,1.48,0.42959,0.66659,0.34786
89,Ac,2.03,2.16,1.12,0.39344,0.62101,0.45034
90,Th,1.8,2.16,1.05,0.14893,0.99596,0.47106
91,Pa,1.63,2.16,0.78,0.16101,0.98387,0.20855
92,U,1.56,2.16,0.73,0.47774,0.63362,0.66714
93,Np,1.56,2.16,0.75,0.3,0.3,0.3
94,Pu,1.64,2.16,0.86,0.3,0.3,0.3
95,Am,1.73,2.16,0.975,0.3,0.3,0.3
96,XX,0.8,1.0,0.8,0.3,0.3,0.3
